#    lam  spec.e spec.sa spec.sb spec.sd  spec.ir
#
3938.500 0.34405 0.52210 0.66158 0.82948 1.03686
3939.410 0.37621 0.55406 0.69394 0.86763 1.07950
3940.320 0.40612 0.58269 0.72179 0.89786 1.10070
3941.230 0.42571 0.59958 0.73625 0.90884 1.10471
3942.130 0.44267 0.61341 0.74713 0.91454 1.10719
3943.040 0.45225 0.62251 0.75595 0.92393 1.11066
3943.950 0.46414 0.63024 0.75956 0.91855 1.08953
3944.860 0.47772 0.64014 0.76589 0.91758 1.08873
3945.770 0.49367 0.65605 0.78209 0.93681 1.10410
3946.670 0.51693 0.67571 0.79843 0.94793 1.10324
3947.580 0.53576 0.69074 0.80986 0.95275 1.09526
3948.490 0.55020 0.70205 0.81820 0.95546 1.08692
3949.400 0.56337 0.71177 0.82458 0.95505 1.07797
3950.310 0.57914 0.72378 0.83296 0.95633 1.07143
3951.220 0.59129 0.73502 0.84351 0.96681 1.08026
3952.130 0.59221 0.73455 0.84166 0.96138 1.06925
3953.040 0.59810 0.73763 0.84194 0.95521 1.05796
3953.950 0.59961 0.73935 0.84395 0.95810 1.05900
3954.860 0.59451 0.73375 0.83780 0.94962 1.04761
3955.770 0.59208 0.73049 0.83369 0.94283 1.04199
3956.680 0.58483 0.72449 0.82892 0.94003 1.02459
3957.600 0.57186 0.71133 0.81537 0.92344 1.01775
3958.510 0.56062 0.70302 0.80999 0.92385 1.02531
3959.420 0.54511 0.69082 0.80104 0.92089 1.02273
3960.330 0.51737 0.66601 0.77888 0.90128 1.01032
3961.240 0.48855 0.63812 0.75150 0.87079 0.98335
3962.150 0.45303 0.60399 0.71827 0.83439 0.94633
3963.070 0.41779 0.57026 0.68556 0.79892 0.91851
3963.980 0.38795 0.54257 0.65967 0.77307 0.89544
3964.890 0.35878 0.51465 0.63262 0.74374 0.87088
3965.800 0.32981 0.48461 0.60099 0.70357 0.84700
3966.720 0.30143 0.45315 0.56589 0.65470 0.84355
3967.630 0.27668 0.42648 0.53684 0.61587 0.90979
3968.550 0.26134 0.41370 0.52654 0.60978 1.00779
3969.460 0.25425 0.42001 0.54681 0.66523 1.13767
3970.370 0.26491 0.44352 0.58399 0.73949 1.25587
3971.290 0.28939 0.46627 0.60540 0.76107 1.26020
3972.200 0.31363 0.47978 0.60813 0.73929 1.13666
3973.120 0.35408 0.50038 0.60871 0.69371 0.91097
3974.030 0.39687 0.53060 0.62655 0.68567 0.77771
3974.950 0.43589 0.56637 0.65962 0.71758 0.76753
3975.860 0.47640 0.60616 0.69941 0.76346 0.80672
3976.780 0.51621 0.64348 0.73486 0.80005 0.83693
3977.690 0.55186 0.67843 0.76972 0.84007 0.87590
3978.610 0.58208 0.70839 0.79998 0.87566 0.90851
3979.530 0.61110 0.73609 0.82684 0.90472 0.93946
3980.440 0.63287 0.75844 0.85022 0.93406 0.97573
3981.360 0.64299 0.76760 0.85859 0.94188 0.97790
3982.280 0.65117 0.77493 0.86523 0.94793 0.98302
3983.190 0.65429 0.77712 0.86654 0.94743 0.98843
3984.110 0.65898 0.78256 0.87289 0.95682 0.99015
3985.030 0.66948 0.79355 0.88464 0.97209 1.00777
3985.950 0.67308 0.79830 0.89070 0.98208 1.02326
3986.860 0.68469 0.80925 0.90121 0.99318 1.03407
3987.780 0.68925 0.81450 0.90731 1.00217 1.04448
3988.700 0.69901 0.82348 0.91568 1.01043 1.04560
3989.620 0.71241 0.83560 0.92674 1.02074 1.05626
3990.540 0.71527 0.83895 0.93071 1.02674 1.06268
3991.460 0.72008 0.84455 0.93727 1.03652 1.07876
3992.380 0.72749 0.85195 0.94484 1.04563 1.08721
3993.290 0.73254 0.85768 0.95142 1.05516 1.08918
3994.210 0.73208 0.85834 0.95328 1.06010 1.09838
3995.130 0.72883 0.85412 0.94805 1.05174 1.09283
3996.050 0.72335 0.84585 0.93682 1.03199 1.06462
3996.970 0.71835 0.84051 0.93107 1.02443 1.05591
3997.890 0.71738 0.84030 0.93168 1.02703 1.05920
3998.820 0.72816 0.84841 0.93725 1.02762 1.05399
3999.740 0.74089 0.86170 0.95139 1.04592 1.07726
4000.660 0.75570 0.87565 0.96474 1.05998 1.08327
4001.580 0.76592 0.88633 0.97613 1.07479 1.11163
4002.500 0.77079 0.88872 0.97606 1.06909 1.10347
4003.420 0.76685 0.88576 0.97412 1.06918 1.09327
4004.340 0.75412 0.87437 0.96395 1.06026 1.07802
4005.270 0.74111 0.85916 0.94626 1.03419 1.05577
4006.190 0.72852 0.84772 0.93586 1.02459 1.04303
4007.110 0.73151 0.85056 0.93865 1.02777 1.06106
4008.030 0.74298 0.86041 0.94704 1.03411 1.05104
4008.960 0.75691 0.87239 0.95727 1.04194 1.05165
4009.880 0.76946 0.88388 0.96792 1.05239 1.07416
4010.800 0.78215 0.89580 0.97931 1.06432 1.08290
4011.730 0.79015 0.90280 0.98545 1.06948 1.08163
4012.650 0.79574 0.90889 0.99220 1.07884 1.09012
4013.570 0.80140 0.91380 0.99646 1.08231 1.08083
4014.500 0.80118 0.91502 0.99925 1.08917 1.08870
4015.420 0.80290 0.91634 1.00022 1.08955 1.09266
4016.350 0.80644 0.91905 1.00219 1.09016 1.09266
4017.270 0.80899 0.92089 1.00337 1.09010 1.10062
4018.200 0.80622 0.91984 1.00412 1.09515 1.11052
4019.120 0.80811 0.92162 1.00586 1.09711 1.10162
4020.050 0.80901 0.92347 1.00878 1.10299 1.10491
4020.970 0.80802 0.92292 1.00872 1.10412 1.11300
4021.900 0.80575 0.91916 1.00341 1.09450 1.09907
4022.830 0.80426 0.91658 0.99972 1.08776 1.08357
4023.750 0.79875 0.90872 0.98936 1.07013 1.06457
4024.680 0.79524 0.90331 0.98195 1.05706 1.05140
4025.610 0.79810 0.90601 0.98456 1.05999 1.06243
4026.530 0.80265 0.91075 0.98964 1.06672 1.08247
4027.460 0.80371 0.91602 0.99939 1.08836 1.12462
4028.390 0.80129 0.91460 0.99904 1.09045 1.12205
4029.320 0.78842 0.90262 0.98779 1.07921 1.09490
4030.240 0.76621 0.88292 0.97039 1.06446 1.07410
4031.170 0.74147 0.86079 0.95061 1.04713 1.06548
4032.100 0.71846 0.84085 0.93355 1.03410 1.06341
4033.030 0.70859 0.83243 0.92653 1.02930 1.05725
4033.960 0.70768 0.83291 0.92850 1.03508 1.06892
4034.890 0.72259 0.84701 0.94205 1.04955 1.07899
4035.820 0.74703 0.86894 0.96183 1.06758 1.09441
4036.750 0.77162 0.89242 0.98462 1.09242 1.12277
4037.670 0.79683 0.91509 1.00512 1.11117 1.13075
4038.600 0.81476 0.92914 1.01546 1.11472 1.12046
4039.530 0.82099 0.93395 1.01893 1.11579 1.12736
4040.470 0.81959 0.93397 1.02046 1.12111 1.12942
4041.400 0.81009 0.92408 1.01005 1.10801 1.12056
4042.330 0.79435 0.90988 0.99725 1.09655 1.11329
4043.260 0.77403 0.89389 0.98549 1.09278 1.11297
4044.190 0.74271 0.86500 0.95866 1.06664 1.09358
4045.120 0.71438 0.83972 0.93612 1.04703 1.08172
4046.050 0.70080 0.82442 0.91885 1.02267 1.05585
4046.980 0.70295 0.82598 0.91988 1.02278 1.05376
4047.910 0.72242 0.84702 0.94295 1.05418 1.08705
4048.850 0.75037 0.87317 0.96774 1.07981 1.11142
4049.780 0.77650 0.89618 0.98797 1.09694 1.12419
4050.710 0.79587 0.91395 1.00447 1.11317 1.13311
4051.640 0.80257 0.91753 1.00494 1.10674 1.12189
4052.580 0.79806 0.91140 0.99709 1.09386 1.10533
4053.510 0.78898 0.90331 0.98993 1.08786 1.10226
4054.440 0.77845 0.89264 0.97899 1.07470 1.08772
4055.380 0.76473 0.88200 0.97138 1.07302 1.08961
4056.310 0.75149 0.87036 0.96123 1.06488 1.08496
4057.250 0.74119 0.86077 0.95227 1.05611 1.08367
4058.180 0.73915 0.85930 0.95140 1.05663 1.08700
4059.110 0.74047 0.86167 0.95495 1.06357 1.09670
4060.050 0.74331 0.86654 0.96205 1.07704 1.11692
4060.980 0.74429 0.86760 0.96326 1.07891 1.11880
4061.920 0.73837 0.86255 0.95905 1.07613 1.11099
4062.860 0.72405 0.84701 0.94206 1.05331 1.09286
4063.790 0.71196 0.83351 0.92691 1.03222 1.06387
4064.730 0.70668 0.82977 0.92474 1.03346 1.06378
4065.660 0.71079 0.83474 0.93074 1.04289 1.08134
4066.600 0.72683 0.85072 0.94699 1.06244 1.10195
4067.540 0.74323 0.86696 0.96340 1.08193 1.12665
4068.470 0.75841 0.88390 0.98249 1.10909 1.17087
4069.410 0.76704 0.89236 0.99097 1.11910 1.19014
4070.350 0.76854 0.88955 0.98372 1.10071 1.16246
4071.280 0.76429 0.88148 0.97163 1.07770 1.12248
4072.220 0.75793 0.87072 0.95620 1.04930 1.07518
